PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,eventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name,EventStatus
,Special Teams qualification event – Pan American Games Santiago 2023,Other Events and Multi Sport Games,39,Peru,Lima,americas,south america,2023-06-13 00:00:00,2023-06-14 00:00:00,,,,,2762,,,,,,,,Completed
,Special Singles qualification event – Pan American Games Santiago 2023,Other Events and Multi Sport Games,39,Peru,Lima,americas,south america,2023-06-15 00:00:00,2023-06-18 00:00:00,,,,,2763,,,,,,,,Completed
,WTT Contender Tunis 2023 Presented by KIA,WTT Contender,34,Tunisia,Tunis,africa,north africa,2023-06-20 00:00:00,2023-06-25 00:00:00,,,,,2691,,,,,,,WTT Series,Completed
,Central American & Caribbean Games 2023,Multi-Sport Games,77,El Salvador,San Salvador,americas,central america,2023-06-21 00:00:00,2023-06-27 00:00:00,,,,,2770,,,,,,,,Completed
,WTT Contender Zagreb 2023,WTT Contender,34,Croatia,Zagreb,europe,southern europe,2023-06-26 00:00:00,2023-07-02 00:00:00,,,,,2692,,,,,,,WTT Series,Completed
,WTT Star Contender Ljubljana 2023 Presented by I Feel Slovenia,WTT Star Contender,35,Slovenia,Ljubljana,europe,southern europe,2023-07-03 00:00:00,2023-07-09 00:00:00,,,,,2694,,,,,,,WTT Series,Completed
,WTT Feeder Havirov 2023,WTT Feeder,81,Czechia,Havirov,europe,eastern europe,2023-07-27 00:00:00,2023-07-30 00:00:00,,,,,2750,,,,,,,WTT Feeder Series,Completed
,WTT Contender Lima 2023,WTT Contender,34,Peru,Lima,americas,south america,2023-07-31 00:00:00,2023-08-06 00:00:00,,,,,2721,,,,,,,WTT Series,Completed
,WTT Contender Rio de Janeiro 2023,WTT Contender,34,Brazil,Rio De Janeiro,americas,south america,2023-08-07 00:00:00,2023-08-13 00:00:00,,,,,2722,,,,,,,WTT Series,Completed
,WTT Feeder Olomouc 2023,WTT Feeder,81,Czechia,Olomouc,europe,eastern europe,2023-08-22 00:00:00,2023-08-27 00:00:00,,,,,2724,,,,,,,WTT Feeder Series,Completed
,WTT Feeder Panagyurishte 2023 presented by ASAREL ,WTT Feeder,81,Bulgaria,Panagyurishte,europe,eastern europe,2023-08-29 00:00:00,2023-09-03 00:00:00,,,,,2723,,,,,,,WTT Feeder Series,Completed
,WTT Contender Almaty 2023,WTT Contender,34,Kazakhstan,Almaty,asia,middle asia,2023-08-29 00:00:00,2023-09-03 00:00:00,,,,,2739,,,,,,,WTT Series,Completed
,2023 ITTF-Oceania Olympic Team & Mixed Doubles Qualification,Olympic Games,85,Australia,,oceania,australasia,2023-09-02 00:00:00,2023-09-03 00:00:00,,,,,2717,,,,,,,WTT Series,Completed
,WTT Feeder Bangkok 2023,WTT Feeder,81,Thailand,Bangkok,asia,south east asia,2023-09-04 00:00:00,2023-09-09 00:00:00,,,,,2740,,,,,,,WTT Feeder Series,Completed
,2023 ITTF Pan American Championships,Continental Championships,79,Cuba,Havana,americas,caribbean,2023-09-10 00:00:00,2023-09-17 00:00:00,,,,,2789,,,,,,,,Completed
,2023 ITTF-Africa Senior Championships,Continental Championships,79,Tunisia,Rades,africa,north africa,2023-09-11 00:00:00,2023-09-17 00:00:00,,,,,2787,,,,,,,,Completed
,WTT Star Contender Lanzhou 2023 Presented by Huanchen Sports,WTT Star Contender,35,China,Lanzhou,asia,east asia,2023-10-02 00:00:00,2023-10-08 00:00:00,,,,,2777,,,,,,,WTT Series,Completed
,WTT Feeder Stockholm 2023,WTT Feeder,81,Sweden,Stockhom,europe,northern europe,2023-10-02 00:00:00,2023-10-07 00:00:00,,,,,2738,,,,,,,WTT Feeder Series,Completed
,WTT Contender Muscat 2023,WTT Contender,34,Oman,Muscat,asia,west asia,2023-10-08 00:00:00,2023-10-14 00:00:00,,,,,2775,,,,,,,WTT Series,Completed
,WTT Contender Antalya 2023,WTT Contender,34,Türkiye,Antalya,europe,southern europe,2023-10-16 00:00:00,2023-10-22 00:00:00,,,,,2742,,,,,,,WTT Series,Completed
,WTT Feeder Doha II 2023,WTT Feeder,81,Qatar,Doha,asia,west asia,2023-10-17 00:00:00,2023-10-19 00:00:00,,5507.0,,,2734,,,,,,,WTT Feeder Series,Completed
,WTT Champions Frankfurt 2023,WTT Champions,65,Germany,Frankfurt,europe,western europe,2023-10-29 00:00:00,2023-11-05 00:00:00,,,,,2705,,,,,,,WTT Series,Completed
,WTT Feeder Otocec 2023 presented by I Feel Slovenia,WTT Feeder,81,Slovenia,Otocec,europe,southern europe,2023-10-30 00:00:00,2023-11-05 00:00:00,,,,,2733,,,,,,,WTT Feeder Series,Completed
,WTT Contender Taiyuan 2023,WTT Contender,34,China,Taiyuan,asia,east asia,2023-11-07 00:00:00,2023-11-12 00:00:00,,,,,2794,,,,,,,WTT Series,Completed
,WTT Feeder Vila Nova de Gaia 2023,WTT Feeder,81,Portugal,Vila Nova de Gaia,europe,southern europe,2023-11-22 00:00:00,2023-11-25 00:00:00,,,,,2735,,,,,,,WTT Feeder Series,Completed
,WTT Feeder Düsseldorf III 2023,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2023-11-27 00:00:00,2023-12-01 00:00:00,,5513.0,,,2755,,,,,,,WTT Feeder Series,Completed
,ITTF Mixed Team World Cup 2023,World Mixed Team Championships,93,China,Chengdu,asia,east asia,2023-12-04 00:00:00,2023-12-10 00:00:00,,,,,2860,,,,,,,,Completed
,2023 Pacific Cup,Continental Cups,82,New Zealand,Hamilton,oceania,australasia,2023-12-09 00:00:00,2023-12-10 00:00:00,,,,,2905,,,,,,,,Completed
,2023 ITTF-Oceania Cup,Continental Cups,82,New Zealand,Hamilton,oceania,australasia,2023-12-09 11:00:00,2023-12-10 11:00:00,,,,,2714,,,,,,,,Completed
,WTT Feeder Biella 2023,WTT Feeder,81,Italy,Biella,europe,southern europe,2023-12-12 00:00:00,2023-12-17 00:00:00,,,,,2732,,,,,,,WTT Feeder Series,Completed
,WTT Finals Women Nagoya 2023,WTT Finals,75,Japan,Nagoya,asia,east asia,2023-12-15 00:00:00,2023-12-17 00:00:00,,,,,2776,,,,,,,WTT Series,Completed
,WTT Finals Men Doha 2023,WTT Finals,75,Qatar,Doha,asia,west asia,2024-01-03 00:00:00,2024-01-05 00:00:00,,,,,2866,,,,,,,WTT Series,Completed
,WTT Star Contender Doha 2024,WTT Star Contender,35,Qatar,Doha,asia,west asia,2024-01-08 00:00:00,2024-01-13 00:00:00,,,,,2862,,,,,,,WTT Series,Completed
,WTT Contender Doha 2024,WTT Contender,34,Qatar,Doha,asia,west asia,2024-01-14 00:00:00,2024-01-20 00:00:00,,,,,2861,,,,,,,WTT Series,Completed
,WTT Feeder Corpus Christi 2024,WTT Feeder,81,USA,Corpus Christi,americas,northern america,2024-01-15 00:00:00,2024-01-18 00:00:00,,,,,2878,,,,,,,WTT Feeder Series,Completed
,2024 Pan American Cup,Continental Cups,82,USA,Corpus Christi,americas,northern america,2024-01-19 00:00:00,2024-01-21 00:00:00,,5066.0,,,2896,,,,,,,,Completed
,WTT Star Contender Goa 2024,WTT Star Contender,35,India,Goa,asia,south asia,2024-01-23 00:00:00,2024-01-28 00:00:00,,,,,2863,,,,,,,WTT Series,Completed
,WTT Feeder Manchester 2024,WTT Feeder,81,England,Manchester,europe,northern europe,2024-02-01 00:00:00,2024-02-04 00:00:00,,,,,2879,,,,,,,WTT Feeder Series,Completed
,North Africa Regional Championships 2024,WTTC Finals Regional Qualifications,83,Tunisia,Rades,africa,north africa,2024-02-05 00:00:00,2024-02-07 00:00:00,,,,,2908,,,,,,,,Completed
,ITTF World Team Table Tennis Championships Finals Busan 2024 Presented by BNK Busan Bank,World Championship,37,Korea Republic,Busan,asia,east asia,2024-02-16 00:00:00,2024-02-25 00:00:00,,,,,2751,,,,,,,,Completed
,Singapore Smash 2024,WTT Grand Smash,64,Singapore,Singapore,asia,south east asia,2024-03-07 00:00:00,2024-03-17 00:00:00,,,,,2904,,,,,,,WTT Series,Completed
,WTT Feeder Beirut 2024,WTT Feeder,81,Lebanon,Beirut,asia,west asia,2024-03-19 00:00:00,2024-03-21 00:00:00,,,,,2893,,,,,,,WTT Feeder Series,Completed
,WTT Feeder Beirut II 2024,WTT Feeder,81,Lebanon,Beirut,asia,west asia,2024-03-22 00:00:00,2024-03-24 00:00:00,,,,,2894,,,,,,,WTT Feeder Series,Completed
,WTT Feeder Otocec 2024 Presented by I Feel Slovenia,WTT Feeder,81,Slovenia,Otocec,europe,southern europe,2024-03-26 00:00:00,2024-04-01 00:00:00,,,,,2880,,,,,,,WTT Feeder Series,Completed
,WTT Champions Incheon 2024 Presented by Shinhan Bank,WTT Champions,65,Korea Republic,Incheon,asia,east asia,2024-03-27 00:00:00,2024-03-31 00:00:00,,,,,2899,,,,,,,WTT Series,Completed
,WTT Feeder Varazdin 2024,WTT Feeder,81,Croatia,Varaždin,europe,southern europe,2024-04-02 00:00:00,2024-04-07 00:00:00,,,,,2882,,,,,,,WTT Feeder Series,Completed
,WTT Feeder Düsseldorf 2024,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2024-04-08 00:00:00,2024-04-12 00:00:00,,,,,2881,,,,,,,WTT Feeder Series,Completed
,World Mixed Doubles Olympic Qualification event,World Mixed Doubles Olympic Qualification Tournament,94,Czechia,Havirov,europe,eastern europe,2024-04-11 00:00:00,2024-04-12 00:00:00,,,,,2931,,,,,,,,Completed
,WTT Feeder Havirov 2024,WTT Feeder,81,Czechia,Havirov,europe,eastern europe,2024-04-14 00:00:00,2024-04-17 00:00:00,,,,,2883,,,,,,,WTT Feeder Series,Completed
,ITTF MEN'S AND WOMEN'S WORLD CUP MACAO 2024 PRESENTED BY GALAXY ENTERTAINMENT GROUP,World Cup,95,"Macao, China",Macao,asia,east asia,2024-04-15 00:00:00,2024-04-21 00:00:00,,,,,2937,,,,,,,,Completed
,2024 Caribbean Championships,WTTC Finals Regional Qualifications,83,Dominican Republic,Santo Domingo ,americas,caribbean,2024-04-16 00:00:00,2024-04-21 00:00:00,,,,,2930,,,,,,,,Completed
,2024 Central American Championships,WTTC Finals Regional Qualifications,83,El Salvador,San Salvador,americas,central america,2024-04-22 00:00:00,2024-04-27 00:00:00,,,,,2938,,,,,,,,Completed
,Saudi Smash 2024,WTT Grand Smash,64,Saudi Arabia,Jeddah,asia,west asia,2024-05-01 00:00:00,2024-05-11 00:00:00,,,,,2932,,,,,,,WTT Series,Completed
,2024 ITTF-Oceania Olympic Singles Qualification,Olympic Qualification,47,New Caledonia,Noumea,oceania,melanesia,2024-05-10 00:00:00,2024-05-10 00:00:00,,,,,2915,,,,,,,,Completed
,2024 Pacific Cup,Continental Cups,82,New Caledonia,NOUMEA Nouvelle Calédonie,oceania,melanesia,2024-05-11 00:00:00,2024-05-12 00:00:00,,,,,2959,,,,,,,,Completed
,2024 ITTF-Oceania Cup,Continental Cups,82,New Caledonia,Noumea,oceania,melanesia,2024-05-11 00:00:00,2024-05-12 00:00:00,,,,,2916,,,,,,,,Completed
,ITTF Africa Cup 2024,Continental Cups,82,Rwanda,Kigali,africa,east africa,2024-05-12 00:00:00,2024-05-14 00:00:00,,5066.0,,,2944,,,,,,,,Completed
,WTT Feeder Cappadocia 2024,WTT Feeder,81,Türkiye,Cappadocia - Nevsehir,europe,southern europe,2024-05-13 00:00:00,2024-05-17 00:00:00,,,,,2911,,,,,,,WTT Feeder Series,Completed
,ITTF Americas Olympic Qualification event,ITTF International Open,80,Peru,Lima,americas,south america,2024-05-14 00:00:00,2024-05-18 00:00:00,,,,,2935,,,,,,,,Completed
,ITTF Africa Olympic Qualification event,ITTF International Open,80,Rwanda,Kigali,africa,east africa,2024-05-16 00:00:00,2024-05-18 00:00:00,,,,,2946,,,,,,,,Completed
,WTT Contender Rio de Janeiro 2024,WTT Contender,34,Brazil,Rio De Janeiro,americas,south america,2024-05-20 00:00:00,2024-05-26 00:00:00,,,,,2867,,,,,,,WTT Series,Completed
,WTT Contender Taiyuan 2024,WTT Contender,34,China,Taiyuan,asia,east asia,2024-05-21 00:00:00,2024-05-26 00:00:00,,,,,2865,,,,,,,WTT Series,Completed
,WTT Contender Mendoza 2024,WTT Contender,34,Argentina,Mendoza,americas,south america,2024-05-27 00:00:00,2024-06-02 00:00:00,,,,,2934,,,,,,,WTT Series,Completed
,WTT Champions Chongqing 2024 Presented by Changan,WTT Champions,65,China,Chongqing,asia,east asia,2024-05-30 00:00:00,2024-06-03 00:00:00,,,,,2941,,,,,,,WTT Series,Completed
,WTT Contender Zagreb 2024,WTT Contender,34,Croatia,Zagreb,europe,southern europe,2024-06-03 00:00:00,2024-06-09 00:00:00,,,,,2869,,,,,,,WTT Series,Completed
,2024 South American Championships,WTTC Finals Regional Qualifications,83,Paraguay,Asunción,americas,south america,2024-06-10 00:00:00,2024-06-16 00:00:00,,,,,2960,,,,,,,,Completed
,WTT Star Contender Ljubljana 2024 Presented by I Feel Slovenia,WTT Star Contender,35,Slovenia,Ljubljana,europe,southern europe,2024-06-11 00:00:00,2024-06-16 00:00:00,,,,,2870,,,,,,,WTT Series,Completed
,WTT Contender Lagos 2024,WTT Contender,34,Nigeria,Lagos,africa,west africa,2024-06-19 00:00:00,2024-06-23 00:00:00,,,,,2868,,,,,,,WTT Series,Completed
,WTT Contender Tunis 2024 Presented by KIA,WTT Contender,34,Tunisia,Tunis,africa,north africa,2024-06-25 00:00:00,2024-06-30 00:00:00,,,,,2871,,,,,,,WTT Series,Completed
,WTT Star Contender Bangkok 2024,WTT Star Contender,35,Thailand,Bangkok,asia,south east asia,2024-07-02 00:00:00,2024-07-07 00:00:00,,,,,2900,,,,,,,WTT Series,Completed
,Paris 2024 Olympic Games,Olympic Games,85,France,Paris,europe,western europe,2024-07-26 00:00:00,2024-08-11 00:00:00,,,,,2603,,,,,,,WTT Series,Completed
,WTT Feeder Olomouc 2024,WTT Feeder,81,Czechia,Olomouc,europe,eastern europe,2024-08-21 00:00:00,2024-08-25 00:00:00,,,,,2884,,,,,,,WTT Feeder Series,Completed
,WTT Contender Lima 2024,WTT Contender,34,Peru,Lima,americas,south america,2024-08-21 00:00:00,2024-08-25 00:00:00,,,,,2872,,,,,,,WTT Series,Completed
,WTT Feeder Muscat 2024,WTT Feeder,81,Oman,Muscat,asia,west asia,2024-08-29 00:00:00,2024-09-01 00:00:00,,,,,2965,,,,,,,WTT Feeder Series,Completed
,WTT Contender Almaty 2024,WTT Contender,34,Kazakhstan,Almaty,asia,middle asia,2024-09-03 00:00:00,2024-09-08 00:00:00,,,,,2873,,,,,,,WTT Series,Completed
,WTT Champions Macao 2024 Presented by Galaxy Entertainment Group,WTT Champions,65,"Macao, China",Macao,asia,east asia,2024-09-09 00:00:00,2024-09-15 00:00:00,,,,,2983,,,,,,,WTT Series,Completed
,WTT Feeder Panagyurishte 2024 Presented by Asarel,WTT Feeder,81,Bulgaria,Panagyurishte,europe,eastern europe,2024-09-11 00:00:00,2024-09-15 00:00:00,,,,,2885,,,,,,,WTT Feeder Series,Completed
,WTT Feeder Halmstad 2024,WTT Feeder,81,Sweden,Halmstad,europe,northern europe,2024-09-16 00:00:00,2024-09-21 00:00:00,,,,,2886,,,,,,,WTT Feeder Series,Completed
,China Smash 2024 Presented by Zhonghui Life,WTT Grand Smash,64,China,Beijing,asia,east asia,2024-09-26 00:00:00,2024-10-06 00:00:00,,,,,2942,,,,,,,WTT Series,Completed
,WTT Feeder Doha 2024,WTT Feeder,81,Qatar,Doha,asia,west asia,2024-10-03 00:00:00,2024-10-06 00:00:00,,,,,2887,,,,,,,WTT Feeder Series,Completed
https://asia.ittf.com/pages/43/attc%202024_7760,27th ITTF-Asian Table Tennis Championships 2024,Continental Championships,79,Kazakhstan,,asia,middle asia,2024-10-07 00:00:00,2024-10-13 00:00:00,,,,,2994,,,,,,,,Completed
,ITTF-Africa Team Championships Addis Ababa 2024,WTTC Finals Continental Qualifications,89,Ethiopia,Tunis,africa,east africa,2024-10-12 00:00:00,2024-10-19 00:00:00,,5525.0,,,3104,,,,,,,,Completed
,2024 ITTF-Africa Senior Championships,Continental Championships,79,Ethiopia,Rades,africa,east africa,2024-10-12 00:00:00,2024-10-19 00:00:00,,,,,2995,,,,,,,,Completed
,2024 ITTF Pan American Championships,Continental Championships,79,El Salvador,San Salvador,americas,central america,2024-10-13 00:00:00,2024-10-20 00:00:00,,,,,2996,,,,,,,,Completed
,ITTF-Oceania Senior Championships 2024,Continental Championships,79,New Zealand,"Auckland, 1023",oceania,australasia,2024-10-15 00:00:00,2024-10-18 00:00:00,,,,,2917,,,,,,,,Completed
,WTT Champions Montpellier 2024,WTT Champions,65,France,Montpellier,europe,western europe,2024-10-22 00:00:00,2024-10-27 00:00:00,,,,,2940,,,,,,,WTT Series,Completed
,WTT Feeder Cagliari 2024,WTT Feeder,81,Italy,Cagliari,europe,southern europe,2024-10-22 00:00:00,2024-10-27 00:00:00,,,,,2889,,,,,,,WTT Feeder Series,Completed
,WTT Contender Muscat 2024,WTT Contender,34,Oman,Muscat,asia,west asia,2024-10-28 00:00:00,2024-11-02 00:00:00,,,,,2997,,,,,,,WTT Series,Completed
,WTT Feeder Prishtina 2024,WTT Feeder,81,Kosovo,Pristina,europe,southern europe,2024-10-30 00:00:00,2024-11-01 00:00:00,,,,,2964,,,,,,,WTT Feeder Series,Completed
,WTT Feeder Caracas 2024,WTT Feeder,81,Venezuela,Caracas,americas,south america,2024-10-31 00:00:00,2024-11-03 00:00:00,,,,,2912,,,,,,,WTT Feeder Series,Completed
,WTT Champions Frankfurt 2024,WTT Champions,65,Germany,Frankfurt,europe,western europe,2024-11-03 00:00:00,2024-11-10 00:00:00,,,,,2877,,,,,,,WTT Series,Completed
,WTT Feeder Düsseldorf II 2024,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2024-11-18 00:00:00,2024-11-22 00:00:00,,,,,2890,,,,,,,WTT Feeder Series,Completed
,WTT Finals Fukuoka 2024,WTT Finals,75,Japan,Kitakyushu,asia,east asia,2024-11-20 00:00:00,2024-11-24 00:00:00,,,,,2947,,,,,,,WTT Series,Completed
,WTT Feeder Vila Nova de Gaia 2024,WTT Feeder,81,Portugal,Vila Nova de Gaia,europe,southern europe,2024-11-23 00:00:00,2024-11-27 00:00:00,,,,,2891,,,,,,,WTT Feeder Series,Completed
,ITTF Mixed Team World Cup Chengdu 2024 presented by CHINA TELECOM,World Mixed Team Championships,93,China,Chengdu,asia,east asia,2024-12-01 00:00:00,2024-12-08 00:00:00,,,,,2979,,,,,,,,Completed
,WTT Star Contender Doha 2025,WTT Star Contender,35,Qatar,Doha,asia,west asia,2025-01-06 00:00:00,2025-01-11 00:00:00,,,,,3083,,,,,,,WTT Series,Completed
,WTT Contender Muscat 2025,WTT Contender,34,Oman,Muscat,asia,west asia,2025-01-11 00:00:00,2025-01-17 00:00:00,,,,,3084,,,,,,,WTT Series,Completed
,Singapore Smash 2025,WTT Grand Smash,64,Singapore,Singapore,asia,south east asia,2025-01-30 00:00:00,2025-02-09 00:00:00,,,,,3085,,,,,,,WTT Series,Completed
,WTT Feeder Doha 2025,WTT Feeder,81,Qatar,Doha,asia,west asia,2025-02-04 00:00:00,2025-02-08 00:00:00,,,,,3026,,,,,,,WTT Feeder Series,Completed
,WTT Feeder Düsseldorf 2025,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2025-02-11 00:00:00,2025-02-14 00:00:00,,,,,3020,,,,,,,WTT Feeder Series,Completed
,ITTF-Oceania Cup 2025,Continental Cups,82,Australia, Melbourne,oceania,australasia,2025-02-15 00:00:00,2025-02-16 00:00:00,,,,,3115,,,,,,,,Completed
,WTT Feeder Cappadocia 2025,WTT Feeder,81,Türkiye,Cappadocia - Nevsehir,europe,southern europe,2025-02-17 00:00:00,2025-02-21 00:00:00,,,,,3030,,,,,,,WTT Feeder Series,Completed
,ITTF Pan American Cup 2025 presented By J.P. MORGAN,Continental Cups,82,USA,San Francisco,americas,northern america,2025-02-18 00:00:00,2025-02-23 00:00:00,,5066.0,,,3117,,,,,,,,Completed
https://asia.ittf.com/pages/46/asian%20cup_4119,34th ITTF-ATTU Asian Cup 2025,Continental Cups,82,China,Shenzhen,asia,east asia,2025-02-19 00:00:00,2025-02-23 00:00:00,,,,,3122,,,,,,,,Completed
,ITTF African Cup 2025,Continental Cups,82,Tunisia,Tunis,africa,north africa,2025-02-25 00:00:00,2025-02-27 00:00:00,,5066.0,,,3116,,,,,,,,Completed
,WTT Champions Chongqing 2025 Presented by AITO,WTT Champions,65,China,Chongqing,asia,east asia,2025-03-11 00:00:00,2025-03-16 00:00:00,,,,,3086,,,,,,,WTT Series,Completed
,WTT Star Contender Chennai 2025 Presented by IndianOil,WTT Star Contender,35,India,Chennai,asia,south asia,2025-03-25 00:00:00,2025-03-30 00:00:00,,,,,3133,,,,,,,WTT Series,Completed
,WTT Feeder Otocec 2025 Presented by I Feel Slovenia ,WTT Feeder,81,Slovenia,Otocec,europe,southern europe,2025-03-25 00:00:00,2025-03-29 00:00:00,,,,,3024,,,,,,,WTT Feeder Series,Completed
,WTT Feeder Otocec II 2025 Presented by I Feel Slovenia ,WTT Feeder,81,Slovenia,Otocec,europe,southern europe,2025-03-30 00:00:00,2025-04-03 00:00:00,,,,,3025,,,,,,,WTT Feeder Series,Completed
,Central American Championships 2025,WTTC Finals Regional Qualifications,83,Costa Rica,San Jose,americas,central america,2025-04-01 00:00:00,2025-04-06 00:00:00,,,,,3151,,,,,,,,Completed
,WTT Champions Incheon 2025,WTT Champions,65,Korea Republic,Incheon,asia,east asia,2025-04-01 00:00:00,2025-04-06 00:00:00,,,,,3087,,,,,,,WTT Series,Completed
,WTT Feeder Havirov 2025,WTT Feeder,81,Czechia,Havirov,europe,eastern europe,2025-04-05 00:00:00,2025-04-09 00:00:00,,,,,3069,,,,,,,WTT Feeder Series,Completed
,WTT Contender Taiyuan 2025,WTT Contender,34,China,Taiyuan,asia,east asia,2025-04-08 00:00:00,2025-04-13 00:00:00,,,,,3088,,,,,,,WTT Series,Completed
,ITTF MEN'S AND WOMEN'S WORLD CUP MACAO 2025 PRESENTED BY GALAXY ENTERTAINMENT GROUP,World Cup,95,"Macao, China",,asia,east asia,2025-04-14 00:00:00,2025-04-20 00:00:00,,,,,3109,,,,,,,,Completed
,WTT Contender Tunis 2025 Presented By Tunisie Telecom,WTT Contender,34,Tunisia,Tunis,africa,north africa,2025-04-22 00:00:00,2025-04-27 00:00:00,,,,,3089,,,,,,,WTT Series,Completed
,WTT Feeder Manchester 2025,WTT Feeder,81,England,Manchester,europe,northern europe,2025-04-24 00:00:00,2025-04-27 00:00:00,,,,,3023,,,,,,,WTT Feeder Series,Completed
,West Asian Regional Championships 2025,WTTC Finals Regional Qualifications,83,Saudi Arabia,Dammam,asia,west asia,2025-04-27 00:00:00,2025-04-28 00:00:00,,5524.0,,,3187,,,,,,,,Completed
,North Africa Regional Championships 2025,WTTC Finals Regional Qualifications,83,Tunisia,Tunis,africa,north africa,2025-04-28 00:00:00,2025-04-30 00:00:00,,,,,3135,,,,,,,,Completed
,ITTF World Table Tennis Championships Finals Doha 2025,World Championship,37,Qatar,Doha,asia,west asia,2025-05-17 00:00:00,2025-05-25 00:00:00,,,,,3108,,,,,,,,Completed
,East Africa Regional Championships 2025,WTTC Finals Regional Qualifications,83,Madagascar,Antananarivo,africa,east africa,2025-05-28 00:00:00,2025-05-31 00:00:00,,,,,3139,,,,,,,,Completed
,WTT Feeder Prishtina 2025,WTT Feeder,81,Kosovo,Prishtina,europe,southern europe,2025-06-03 00:00:00,2025-06-07 00:00:00,,,,,3058,,,,,,,WTT Feeder Series,Completed
https://www.ittf.com/tournament/3147/ITTF%20Oceania%20Championships%202025/,ITTF Oceania Championships 2025,Continental Championships,79,New Zealand,Christchurch,oceania,australasia,2025-06-07 00:00:00,2025-06-11 00:00:00,,,,,3147,,,,,,,,Completed
,WTT Contender Skopje 2025,WTT Contender,34,North Macedonia,Skopje,europe,southern europe,2025-06-09 00:00:00,2025-06-15 00:00:00,,,,,3090,,,,,,,WTT Series,Completed
https://www.ittf.com/tournament/3147/ITTF%20Oceania%20Championships%202025/,ITTF Oceania Regional Championships 2025,WTTC Finals Regional Qualifications,83,New Zealand,Christchurch,oceania,australasia,2025-06-09 00:00:00,2025-06-10 00:00:00,,,,,3203,,,,,,,,Completed
,Caribbean Regional Championships 2025,WTTC Finals Regional Qualifications,83,Barbados,Bridgetown,americas,caribbean,2025-06-16 00:00:00,2025-06-22 00:00:00,,,,,3168,,,,,,,,Completed
,WTT Star Contender Ljubljana 2025 Presented by I Feel Slovenia,WTT Star Contender,35,Slovenia,Ljubljana,europe,southern europe,2025-06-17 00:00:00,2025-06-22 00:00:00,,,,,3091,,,,,,,WTT Series,Completed
,South American Championships 2025,WTTC Finals Regional Qualifications,83,Peru,Lima,americas,south america,2025-06-23 00:00:00,2025-06-29 00:00:00,,,,,3155,,,,,,,,Completed
,WTT Contender Zagreb 2025,WTT Contender,34,Croatia,Zagreb,europe,southern europe,2025-06-24 00:00:00,2025-06-29 00:00:00,,,,,3092,,,,,,,WTT Series,Completed
,Central Africa Regional Championships 2025,WTTC Finals Regional Qualifications,83,Congo Brazzaville,Brazzaville,africa,central africa,2025-06-27 00:00:00,2025-06-29 00:00:00,,,,,3140,,,,,,,,Completed
,Pacific Mini Games 2025,Multi-Sport Games,77,Palau,Koror,oceania,micronesia,2025-06-29 00:00:00,2025-07-09 00:00:00,,,,,3149,,,,,,,,Completed
,United States Smash 2025,WTT Grand Smash,64,USA,Las Vegas,americas,northern america,2025-07-03 00:00:00,2025-07-13 00:00:00,,,,,3082,,,,,,,WTT Series,Completed
,South Africa Regional Championships 2025,WTTC Finals Regional Qualifications,83,Namibia,,africa,southern africa,2025-07-14 00:00:00,2025-07-17 00:00:00,,,,,3141,,,,,,,,Completed
,Central Asia Regional Team Championships 2025,WTTC Finals Regional Qualifications,83,Kazakhstan,Amalty,asia,middle asia,2025-07-14 00:00:00,2025-07-16 00:00:00,,5524.0,,,3208,,,,,,,,Completed
,West Africa Regional Championships 2025,WTTC Finals Regional Qualifications,83,Nigeria,Lagos,africa,west africa,2025-07-16 00:00:00,2025-07-19 00:00:00,,,,,3142,,,,,,,,Completed
,WTT Contender Buenos Aires 2025,WTT Contender,34,Argentina,Buenos Aires,americas,south america,2025-07-22 00:00:00,2025-07-27 00:00:00,,,,,3175,,,,,,,WTT Series,Completed
,WTT Contender Lagos 2025,WTT Contender,34,Nigeria,Lagos,africa,west africa,2025-07-22 00:00:00,2025-07-26 00:00:00,,,,,3121,,,,,,,WTT Series,Completed
,South Asian Regional Championships 2025,WTTC Finals Regional Qualifications,83,Nepal,Amalty,asia,south asia,2025-07-30 00:00:00,2025-07-31 00:00:00,,5524.0,,,3210,,,,,,,,Completed
,WTT Star Contender Foz do Iguaçu 2025,WTT Star Contender,35,Brazil,Foz do Iguaçu,americas,south america,2025-07-30 00:00:00,2025-08-03 00:00:00,,,,,3093,,,,,,,WTT Series,Completed
,WTT Feeder Spokane 2025,WTT Feeder,81,USA,Spokane ,americas,northern america,2025-08-05 00:00:00,2025-08-08 00:00:00,,,,,3177,,,,,,,WTT Feeder Series,Completed
,WTT Champions Yokohama 2025,WTT Champions,65,Japan,,asia,east asia,2025-08-07 00:00:00,2025-08-11 00:00:00,,,,,3094,,,,,,,WTT Series,Completed
,WTT Feeder Spokane II 2025,WTT Feeder,81,USA,Spokane ,americas,northern america,2025-08-09 00:00:00,2025-08-12 00:00:00,,,,,3178,,,,,,,WTT Feeder Series,Completed
