playerId,TotalWins (Overall),TotalLosses (Overall),TotalMatches (Overall),WinRate (Overall)
210239,2,2,4,50.0
203471,2,2,4,50.0
116748,3,3,6,50.0
132104,2,2,4,50.0
135393,2,2,4,50.0
118888,2,2,4,50.0
135660,5,5,10,50.0
131128,6,6,12,50.0
134012,3,3,6,50.0
115068,2,2,4,50.0
120795,2,2,4,50.0
108958,2,2,4,50.0
106897,2,2,4,50.0
133123,5,5,10,50.0
100817,5,5,10,50.0
121546,2,2,4,50.0
132804,2,2,4,50.0
134571,2,2,4,50.0
133899,2,2,4,50.0
132781,2,2,4,50.0
145641,2,2,4,50.0
114355,4,4,8,50.0
137012,4,4,8,50.0
137011,2,2,4,50.0
114614,2,2,4,50.0
123151,2,2,4,50.0
210877,2,2,4,50.0
131066,2,2,4,50.0
203588,1,1,2,50.0
144508,1,1,2,50.0
133289,1,1,2,50.0
133479,1,1,2,50.0
136007,1,1,2,50.0
122066,1,1,2,50.0
115379,13,13,26,50.0
133399,1,1,2,50.0
112321,1,1,2,50.0
114100,1,1,2,50.0
208431,1,1,2,50.0
134875,1,1,2,50.0
204951,1,1,2,50.0
145169,1,1,2,50.0
133594,1,1,2,50.0
213377,1,1,2,50.0
135513,1,1,2,50.0
201364,1,1,2,50.0
207860,1,1,2,50.0
200301,1,1,2,50.0
131068,1,1,2,50.0
108425,1,1,2,50.0
133693,1,1,2,50.0
120715,1,1,2,50.0
203208,1,1,2,50.0
137251,1,1,2,50.0
220568,1,1,2,50.0
200661,1,1,2,50.0
209633,1,1,2,50.0
103230,1,1,2,50.0
200650,1,1,2,50.0
115827,1,1,2,50.0
134612,1,1,2,50.0
135207,1,1,2,50.0
131248,1,1,2,50.0
144661,1,1,2,50.0
137036,1,1,2,50.0
131676,1,1,2,50.0
135971,1,1,2,50.0
104892,1,1,2,50.0
121440,1,1,2,50.0
121445,1,1,2,50.0
123435,1,1,2,50.0
203752,1,1,2,50.0
135848,1,1,2,50.0
136214,1,1,2,50.0
121123,1,1,2,50.0
135865,1,1,2,50.0
117367,1,1,2,50.0
134364,1,1,2,50.0
116873,13,13,26,50.0
203760,1,1,2,50.0
124028,1,1,2,50.0
201478,1,1,2,50.0
222235,1,1,2,50.0
134509,1,1,2,50.0
201947,1,1,2,50.0
121226,1,1,2,50.0
121178,1,1,2,50.0
200583,1,1,2,50.0
133506,1,1,2,50.0
111210,1,1,2,50.0
137294,1,1,2,50.0
121103,1,1,2,50.0
200643,1,1,2,50.0
208118,1,1,2,50.0
111286,1,1,2,50.0
213478,1,1,2,50.0
220491,1,1,2,50.0
136450,1,1,2,50.0
102827,1,1,2,50.0
145950,1,1,2,50.0
145739,3,3,6,50.0
145634,3,3,6,50.0
106868,3,3,6,50.0
201368,3,3,6,50.0
200159,4,4,8,50.0
145902,3,3,6,50.0
123057,3,3,6,50.0
119476,3,3,6,50.0
122849,1,1,2,50.0
123225,1,1,2,50.0
131909,1,1,2,50.0
202520,1,1,2,50.0
134953,1,1,2,50.0
200291,1,1,2,50.0
146235,1,1,2,50.0
206222,1,1,2,50.0
204289,1,1,2,50.0
206218,1,1,2,50.0
200331,1,1,2,50.0
146173,1,1,2,50.0
202032,1,1,2,50.0
131694,1,1,2,50.0
221908,1,1,2,50.0
137102,1,1,2,50.0
106195,1,1,2,50.0
133542,1,1,2,50.0
123139,1,1,2,50.0
134463,1,1,2,50.0
209805,1,1,2,50.0
220434,1,1,2,50.0
123639,1,1,2,50.0
143604,1,1,2,50.0
202070,1,1,2,50.0
206051,1,1,2,50.0
116321,1,1,2,50.0
145799,16,16,32,50.0
135879,1,1,2,50.0
122195,3,3,6,50.0
145294,1,1,2,50.0
200312,1,1,2,50.0
100218,1,1,2,50.0
103047,1,1,2,50.0
119658,1,1,2,50.0
136779,1,1,2,50.0
121688,27,27,54,50.0
107525,27,27,54,50.0
133592,1,1,2,50.0
118101,1,1,2,50.0
110729,8,8,16,50.0
211761,1,1,2,50.0
134108,1,1,2,50.0
144823,1,1,2,50.0
200390,1,1,2,50.0
119873,1,1,2,50.0
123028,8,8,16,50.0
146225,8,8,16,50.0
118009,1,1,2,50.0
137665,1,1,2,50.0
204845,1,1,2,50.0
123215,1,1,2,50.0
144738,1,1,2,50.0
135987,1,1,2,50.0
133709,1,1,2,50.0
136346,1,1,2,50.0
111887,6,6,12,50.0
133676,2,2,4,50.0
202373,2,2,4,50.0
115141,2,2,4,50.0
202679,2,2,4,50.0
203958,2,2,4,50.0
201406,1,1,2,50.0
107456,7,7,14,50.0
146284,7,7,14,50.0
136202,7,7,14,50.0
200095,7,7,14,50.0
137893,1,1,2,50.0
124309,1,1,2,50.0
137316,1,1,2,50.0
145047,1,1,2,50.0
134483,1,1,2,50.0
202038,1,1,2,50.0
135103,1,1,2,50.0
203021,1,1,2,50.0
201454,1,1,2,50.0
116717,1,1,2,50.0
131996,1,1,2,50.0
120851,1,1,2,50.0
136361,1,1,2,50.0
117027,7,7,14,50.0
133396,7,7,14,50.0
133361,1,1,2,50.0
112427,1,1,2,50.0
211742,1,1,2,50.0
110227,1,1,2,50.0
136056,10,10,20,50.0
134011,24,24,48,50.0
135516,1,1,2,50.0
134874,1,1,2,50.0
134665,1,1,2,50.0
137041,1,1,2,50.0
131434,1,1,2,50.0
201911,1,1,2,50.0
107434,1,1,2,50.0
211660,1,1,2,50.0
117907,1,1,2,50.0
211751,1,1,2,50.0
206909,1,1,2,50.0
211762,1,1,2,50.0
200660,1,1,2,50.0
205157,1,1,2,50.0
211653,1,1,2,50.0
211709,1,1,2,50.0
205159,1,1,2,50.0
203852,1,1,2,50.0
202639,1,1,2,50.0
111960,1,1,2,50.0
202643,1,1,2,50.0
203851,1,1,2,50.0
137409,10,10,20,50.0
210212,1,1,2,50.0
122333,1,1,2,50.0
113557,1,1,2,50.0
133304,1,1,2,50.0
146068,1,1,2,50.0
145875,1,1,2,50.0
136755,9,9,18,50.0
145122,1,1,2,50.0
145872,1,1,2,50.0
146047,1,1,2,50.0
108825,1,1,2,50.0
135353,1,1,2,50.0
114516,1,1,2,50.0
103075,1,1,2,50.0
123168,1,1,2,50.0
145828,1,1,2,50.0
135572,1,1,2,50.0
114521,1,1,2,50.0
120899,1,1,2,50.0
135972,1,1,2,50.0
116697,1,1,2,50.0
131845,9,9,18,50.0
104514,9,9,18,50.0
125492,1,1,2,50.0
103329,1,1,2,50.0
111113,1,1,2,50.0
209139,1,1,2,50.0
133742,1,1,2,50.0
116874,54,55,109,49.54
133455,50,51,101,49.5
123680,45,46,91,49.45
133713,45,46,91,49.45
123690,44,45,89,49.44
132756,43,44,87,49.43
104314,33,34,67,49.25
102761,32,33,65,49.23
121042,31,32,63,49.21
134800,28,29,57,49.12
118507,51,53,104,49.04
134693,24,25,49,48.98
121690,46,48,94,48.94
136116,21,22,43,48.84
115413,59,62,121,48.76
107477,39,41,80,48.75
135924,19,20,39,48.72
119585,19,20,39,48.72
133627,19,20,39,48.72
115449,54,57,111,48.65
116680,51,54,105,48.57
114709,33,35,68,48.53
120112,16,17,33,48.48
104092,32,34,66,48.48
114905,47,50,97,48.45
119316,31,33,64,48.44
102380,30,32,62,48.39
132724,15,16,31,48.39
132318,44,47,91,48.35
131335,44,47,91,48.35
116674,29,31,60,48.33
103752,57,61,118,48.31
115100,14,15,29,48.28
137037,14,15,29,48.28
112442,41,44,85,48.24
100621,54,58,112,48.21
131211,39,42,81,48.15
136567,26,28,54,48.15
132702,13,14,27,48.15
134625,26,28,54,48.15
137850,38,41,79,48.1
123550,50,54,104,48.08
111072,49,53,102,48.04
108843,24,26,50,48.0
134489,12,13,25,48.0
133945,12,13,25,48.0
102891,47,51,98,47.96
122982,22,24,46,47.83
101192,32,35,67,47.76
136170,10,11,21,47.62
102445,10,11,21,47.62
121684,40,44,84,47.62
114127,10,11,21,47.62
135394,19,21,40,47.5
131723,28,31,59,47.46
201238,9,10,19,47.37
122225,9,10,19,47.37
105197,44,49,93,47.31
114860,26,29,55,47.27
134590,17,19,36,47.22
119877,17,19,36,47.22
117365,33,37,70,47.14
112735,41,46,87,47.13
120750,8,9,17,47.06
131383,16,18,34,47.06
102949,16,18,34,47.06
134718,30,34,64,46.88
117336,15,17,32,46.88
115920,57,65,122,46.72
105913,42,48,90,46.67
131586,7,8,15,46.67
114717,21,24,45,46.67
114105,41,47,88,46.59
111833,41,47,88,46.59
100439,20,23,43,46.51
123938,13,15,28,46.43
114718,32,37,69,46.38
110602,32,37,69,46.38
202408,6,7,13,46.15
133042,24,28,52,46.15
108204,6,7,13,46.15
133341,6,7,13,46.15
124192,6,7,13,46.15
132820,6,7,13,46.15
135698,12,14,26,46.15
106660,6,7,13,46.15
122086,18,21,39,46.15
123514,6,7,13,46.15
117862,12,14,26,46.15
115939,17,20,37,45.95
120285,28,33,61,45.9
122078,11,13,24,45.83
122095,27,32,59,45.76
117009,21,25,46,45.65
122607,5,6,11,45.45
104359,5,6,11,45.45
200664,5,6,11,45.45
133441,20,24,44,45.45
203934,5,6,11,45.45
112866,5,6,11,45.45
122814,5,6,11,45.45
135039,19,23,42,45.24
123386,19,23,42,45.24
102841,33,40,73,45.21
112280,47,57,104,45.19
110560,28,34,62,45.16
109140,14,17,31,45.16
112944,50,61,111,45.05
107570,9,11,20,45.0
200316,9,11,20,45.0
131581,18,22,40,45.0
112620,44,54,98,44.9
107312,13,16,29,44.83
145796,4,5,9,44.44
112356,20,25,45,44.44
113165,4,5,9,44.44
113689,4,5,9,44.44
118671,8,10,18,44.44
202861,4,5,9,44.44
136409,4,5,9,44.44
113329,12,15,27,44.44
116723,16,20,36,44.44
131741,12,15,27,44.44
135022,4,5,9,44.44
113536,4,5,9,44.44
111144,4,5,9,44.44
200328,4,5,9,44.44
145550,4,5,9,44.44
134978,4,5,9,44.44
145404,4,5,9,44.44
122455,4,5,9,44.44
133337,4,5,9,44.44
123684,32,40,72,44.44
135478,8,10,18,44.44
121040,27,34,61,44.26
115402,46,58,104,44.23
133628,11,14,25,44.0
144824,11,14,25,44.0
123534,11,14,25,44.0
131086,47,60,107,43.93
132320,25,32,57,43.86
102968,32,41,73,43.84
113418,7,9,16,43.75
131924,7,9,16,43.75
121881,7,9,16,43.75
131917,28,36,64,43.75
122067,7,9,16,43.75
124042,7,9,16,43.75
131846,24,31,55,43.64
116921,17,22,39,43.59
144891,10,13,23,43.48
121041,36,47,83,43.37
121401,36,47,83,43.37
117035,19,25,44,43.18
201504,19,25,44,43.18
108226,40,53,93,43.01
123829,3,4,7,42.86
146280,3,4,7,42.86
120185,9,12,21,42.86
134345,9,12,21,42.86
122348,27,36,63,42.86
113942,3,4,7,42.86
133159,9,12,21,42.86
133004,9,12,21,42.86
119820,3,4,7,42.86
136374,3,4,7,42.86
137274,3,4,7,42.86
121588,12,16,28,42.86
133769,3,4,7,42.86
122604,3,4,7,42.86
113450,3,4,7,42.86
115565,3,4,7,42.86
